   0,  128
  10,  165
  20,  200
  30,  230
  40,  254
  50,  255
  60,  255
  70,  255
  80,  255
  90,  243
 100,  216
 110,  183
 120,  146
 130,  109
 140,   72
 150,   39
 160,   12
 170,    0
 180,    0
 190,    0
 200,    0
 210,    1
 220,   25
 230,   55
 240,   90
 250,  128
 260,  165
 270,  200
 280,  230
 290,  254
 300,  255
 310,  255
 320,  255
 330,  255
 340,  243
 350,  216
 360,  183
 370,  146
 380,  109
 390,   72
 400,   39
 410,   12
 420,    0
 430,    0
 440,    0
 450,    0
 460,    1
 470,   25
 480,   55
 490,   90
 500,  128
 510,  165
 520,  200
 530,  230
 540,  254
 550,  255
 560,  255
 570,  255
 580,  255
 590,  243
 600,  216
 610,  183
 620,  146
 630,  109
 640,   72
 650,   39
 660,   12
 670,    0
 680,    0
 690,    0
 700,    0
 710,    1
 720,   25
 730,   55
 740,   90
 750,  128
 760,  165
 770,  200
 780,  230
 790,  254
 800,  255
 810,  255
 820,  255
 830,  255
 840,  243
 850,  216
 860,  183
 870,  146
 880,  109
 890,   72
 900,   39
 910,   12
 920,    0
 930,    0
 940,    0
 950,    0
 960,    1
 970,   25
 980,   55
 990,   90
1000,  128
